1.99361,4.37804,15.9068
1.91264,3.51588,15.6703
1.89895,4.63367,15.6018
1.72536,4.4895,15.7346
1.66441,5.33209,16.3785
1.72788,4.46438,15.7351
1.6588,4.94323,16.1166
2.06145,3.92458,15.742
1.98722,3.3828,15.5063
1.9134,4.74164,16.0031
1.8307,4.28512,15.1008
1.83792,5.21857,16.715
1.76607,4.78727,15.4698
1.77509,4.51477,15.3249
2.06047,3.56404,15.4176
1.97059,4.20483,15.3223
1.86572,3.75834,15.5278
1.81559,4.76747,15.4493
1.92209,3.54196,15.5373
1.99934,3.54829,15.2398
1.80829,4.80092,15.489
1.7796,4.52665,15.2996
2.05414,4.08228,15.9518
1.98046,3.93074,15.0941
1.95829,3.97395,15.0255
1.79577,4.1997,15.4
1.73341,5.12385,15.9615
1.42254,5.73849,18.3803
1.77489,4.72991,15.4002
1.71926,5.57905,16.9913
2.02466,3.49537,15.3081
2.17445,3.10746,16.2459
1.99363,3.03475,16.3135
2.04744,3.73964,15.3943
2.10182,3.05412,15.9376
1.92469,4.30113,15.1585
2.0681,3.32667,15.5471
1.90649,3.70703,15.3143
1.88445,4.535,15.3089
1.86538,3.99405,15.1415
1.81784,4.44758,15.1396
1.91094,3.9533,14.9993
1.96835,4.45162,15.8074
1.50092,5.06606,17.8659
1.61136,5.90998,17.5566
1.59826,5.1501,16.6459
1.67452,5.38045,16.4416
1.62,4.69805,16.7273
2.09416,3.86363,16.0228
1.92922,3.29325,16.1105
2.10069,3.81021,16.0121
1.8138,3.69751,16.2503
2.04769,4.03599,15.7826
1.92981,4.16396,15.0354
1.8836,3.66157,15.5796
1.91248,4.77065,16.0751
2.02512,3.85086,15.3105
1.99937,3.41101,15.4205
2.11556,4.07886,16.7829
1.99319,3.34189,15.5629
2.14544,3.18611,16.0122
1.86307,3.91416,15.2638
1.97289,3.30957,15.7319
1.93384,4.26877,15.1654
1.64062,4.81657,16.3466
1.66586,4.60535,16.2661
1.85343,4.77323,15.6119
1.72238,4.38608,15.8929
2.14086,3.75111,16.4266
2.04312,3.35948,15.4659
1.99619,4.06135,15.3164
2.01828,3.10274,15.9822
2.10683,3.85862,16.1739
1.87965,4.58289,15.3697
2.02208,3.15782,15.838
2.23769,3.30022,17.045
1.99087,4.25737,15.603
1.80109,3.98208,15.7105
1.91938,4.46574,15.3969
1.8366,3.78596,15.7543
2.09616,3.59179,15.7019
2.15229,2.98498,16.1752
2.09744,2.66366,16.7624
1.87292,4.03317,15.0641
1.8792,3.75391,15.4223
1.75457,5.07433,15.8872
1.71741,5.19324,16.0836
2.00371,3.428,15.3862
2.10556,3.69354,15.8996
1.89273,3.5771,15.6952
2.15791,3.7502,16.6605
1.96978,3.459,15.4326
2.05854,3.64526,15.4247
1.8014,4.22207,15.3268
1.98654,4.0675,15.2499
1.55628,4.98379,17.2173
1.5296,6.74328,19.5296
1.47292,5.63029,17.8679
1.62185,5.70088,17.0985
1.30155,5.35772,20.2647
1.21738,5.78856,20.8306
1.34987,5.49468,19.425
1.60073,5.83461,17.3865
1.42626,5.63077,18.3642
1.74004,4.88151,15.6224
1.77837,4.50838,15.3074
1.89511,4.74929,15.8546
1.92201,3.75299,15.1603
2.01239,3.96372,15.3247
1.89449,4.40122,15.1505
1.84861,4.07094,15.1563
1.96114,4.75728,16.5861
1.83465,5.38783,17.2349
1.80583,4.06477,15.5065
1.92411,4.35314,15.2306
1.98934,3.74614,15.102
1.94391,3.89853,14.9975
1.96716,2.81978,17.2267
2.00898,4.02695,15.3763
1.91989,3.63841,15.356
1.90246,4.30581,15.0688
1.63814,5.95213,17.7144
1.5662,5.71989,17.2645
1.67488,4.75238,16.0299
1.56399,5.38538,16.9836
1.73657,4.75005,15.5551
1.6342,4.84139,16.3993
1.66379,5.45846,16.5942
1.65788,5.04251,16.1383
1.8302,4.83174,15.6196
1.80039,3.94568,15.7953
1.96222,4.55855,16.0168
2.02243,2.73185,17.0094
